POS,PLAYER,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
1,David Warner,?,142,19,5254,126,42.71,"3,712",141.54,4,48,510,195
2,Shikhar Dhawan,176,175,24,5197,106*,34.41,"4,096",126.87,2,41,591,108
3,Virat Kohli,192,184,30,5878,113,38.16,"4,496",130.73,5,39,503,201
4,Rohit Sharma,200,195,28,5230,109*,31.31,"4,004",130.61,1,39,458,213
5,Suresh Raina,193,189,28,5368,100*,33.34,"3,914",137.14,1,38,493,194
6,AB de Villiers,169,156,36,4849,133*,40.4,"3,192",151.91,3,38,390,235
7,Gautam Gambhir,154,152,17,4217,93,31.23,"3,404",123.88,0,36,491,59
8,Chris Gayle,132,131,15,4772,175*,41.13,"3,179",150.11,6,31,384,349
9,Ajinkya Rahane,149,140,16,3933,105*,31.71,"3,240",121.38,2,28,416,76
10,Robin Uthappa,189,182,17,4607,87,27.92,"3,544",129.99,0,24,454,163
11,MS Dhoni,204,182,69,4632,84*,40.99,"3,387",136.75,0,23,313,216
12,Shane Watson,145,141,16,3874,117*,30.99,"2,809",137.91,4,21,376,190
13,KL Rahul,81,72,13,2647,132*,44.86,"1,949",135.81,2,21,234,104
14,Shaun Marsh,71,69,7,2477,115,39.95,"1,866",132.74,1,20,266,78
15,Dinesh Karthik,196,177,30,3823,97*,26,"2,949",129.63,0,19,377,105
16,Ambati Rayudu,159,151,27,3658,100*,29.5,"2,901",126.09,1,19,308,132
17,Manish Pandey,146,135,25,3268,114*,29.7,"2,686",121.66,1,18,288,93
18,Jacques Kallis,98,96,11,2427,89*,28.55,"2,222",109.22,0,17,255,44
19,Dwayne Smith,91,89,5,2385,87*,28.39,"1,764",135.2,0,17,245,117
20,Virender Sehwag,104,104,5,2728,122,27.55,"1,755",155.44,2,16,334,106
21,Faf du Plessis,84,77,7,2302,96,32.88,"1,781",129.25,0,16,205,73
22,Shreyas Iyer,79,79,9,2200,96,31.42,"1,745",126.07,0,16,189,83
23,Kieron Pollard,164,147,46,3023,83,29.93,"2,017",149.87,0,15,196,198
24,Michael Hussey,59,58,7,1977,116*,38.76,"1,612",122.64,1,15,198,52
25,Kane Williamson,53,52,11,1619,89,39.48,"1,201",134.8,0,15,137,54
26,JP Duminy,83,77,26,2029,78*,39.78,"1,636",124.02,0,14,126,79
27,Aaron Finch,87,85,7,2005,88*,25.7,"1,570",127.7,0,14,204,75
28,Quinton de Kock,66,66,4,1959,108,31.59,"1,467",133.53,1,14,201,76
29,Yusuf Pathan,174,154,44,3204,100,29.12,"2,241",142.97,1,13,262,158
30,Brendon McCullum,109,109,5,2880,158*,27.69,"2,186",131.74,2,13,293,130
31,Parthiv Patel,139,137,11,2848,81,22.6,"2,358",120.78,0,13,365,49
32,Yuvraj Singh,132,126,15,2750,83,24.77,"2,120",129.71,0,13,217,149
33,Murali Vijay,106,106,5,2619,127,25.93,"2,149",121.87,2,13,247,91
34,Sanju Samson,107,103,10,2584,102*,27.78,"1,932",133.74,2,13,191,115
35,Sachin Tendulkar,78,78,11,2334,100*,34.83,"1,948",119.81,1,13,295,29
36,Rishabh Pant,68,68,9,2079,128*,35.23,"1,368",151.97,1,12,183,103
37,Steve Smith,95,86,20,2333,101,35.34,"1,805",129.25,1,11,212,58
38,Rahul Dravid,89,82,5,2174,75*,28.23,"1,882",115.51,0,11,269,28
